"lineage","lineagegroup"
"B.1.1.487","Other"
"B.1.1.523","Other"
"B.1.1.525","Other"
"B.1.1.526","Other"
"B.1.153","Other"
"B.1.1.53","Other"
"B.1.1.54","Other"
"B.1.1.57","Other"
"B.1.1.63","Other"
"B.1.170","Other"
"B.1.177","Other"
"B.1.177.16","Other"
"B.1.177.19","Other"
"B.1.177.4","Other"
"B.1.177.7","Other"
"B.1.177.87","Other"
"B.1.179","Other"
"B.1.1.8","Other"
"B.1.182","Other"
"B.1.184","Other"
"B.1.192","Other"
"B.1.195","Other"
"B.1.2","Other"
"B.1.201","Other"
"B.1.206","Other"
"B.1.210","Other"
"B.1.214.3","Other"
"B.1.222","Other"
"B.1.234","Other"
"B.1.238","Other"
"B.1.239","Other"
"B.1.241","Other"
"B.1.243","Other"
"B.1.247","Other"
"B.1.250","Other"
"B.1.258","Other"
"B.1.258.20","Other"
"B.1.260","Other"
"B.1.351.2","Beta"
"B.1.351.3","Beta"
"B.1.36","Other"
"B.1.36.10","Other"
"B.1.36.16","Other"
"B.1.36.18","Other"
"B.1.36.19","Other"
"B.1.36.22","Other"
"B.1.36.24","Other"
"B.1.36.29","Other"
"B.1.36.31","Other"
"B.1.36.35","Other"
"B.1.36.38","Other"
"B.1.36.39","Other"
"B.1.36.7","Other"
"B.1.36.8","Other"
"B.1.369","Other"
"B.1.378","Other"
"B.1.380","Other"
"B.1.384","Other"
"B.1.390","Other"
"B.1.397","Other"
"B.1.398","Other"
"B.1.399","Other"
"B.1.401","Other"
"B.1.428","Other"
"B.1.436","Other"
"B.1.441","Other"
"B.1.459","Other"
"B.1.465","Other"
"B.1.466.1","Other"
"B.1.466.2","Other"
"B.1.470","Other"
"B.1.473","Other"
"B.1.523","Other"
"B.1.524","Other"
"B.1.533","Other"
"B.1.537","Other"
"B.1.538","Other"
"B.1.540","Other"
"B.1.548","Other"
"B.1.551","Other"
"B.1.558","Other"
"B.1.560","Other"
"B.1.578","Other"
"B.1.602","Other"
"B.1.609","Other"
"B.1.617","Other"
"B.1.617.3","Other"
"B.1.618","Other"
"B.1.620","Other"
"B.1.633","Other"
"B.1.640.2","Other"
"B.1.78","Other"
"B.1.81","Other"
"B.1.91","Other"
"B.23","Other"
"B.26","Other"
"B.3","Other"
"B.4","Other"
"B.40","Other"
"B.4.7","Other"
"B.6","Other"
"B.6.1","Other"
"B.6.6","Other"
"C.17","Other"
"C.36","Other"
"C.36.3","Other"
"C.38","Other"
"L.3","Other"
"P.1.1","Gamma"
"Q.4","Alpha"
"Q.8","Alpha"
"R.1","Other"
"P.2","Zeta"
"B.1.1.172","Other"
"B.1.118","Other"
"B.1.1.462","Other"
"BA.4","BA.4"
"BA.5","BA.5"
"AY.120.1","Delta"
"AY.121","Delta"
"AY.29","Delta"
"AY.39.1.2","Delta"
"AY.4.7","Delta"
"B.1.1.1","Other"
"B.1.1.261","Other"
"B.1.159","Other"
"B.1.36.17","Other"
"BA.1.1.12","BA.1.X"
"BA.1.14.1","BA.1.X"
"BA.2.10.2","BA.2.10"
"BA.2.2","BA.2.X"
"BA.2.25.1","BA.2.X"
"BA.2.3.1","BA.2.X"
"BA.2.34","BA.2.X"
"BA.2.35","BA.2.X"
"BA.2.36","BA.2.X"
"BA.2.37","BA.2.X"
"BA.2.40.1","BA.2.X"
"BA.2.6","BA.2.X"
"BA.2.8","BA.2.X"
"Q.6","Alpha"
"BA.2.24","BA.2.X"
"BA.2.38","BA.2.38"
"BA.2.28","BA.2.X"
"BA.5.2.1","BA.5"
"BA.5.2","BA.5"
"BA.4.1","BA.4"
"AY.4.9","Delta"
"AY.5.3","Delta"
"B.1.1.83","Other"
"B.1.199","Other"
"BA.1.15.3","BA.1.X"
"BA.1.5","BA.1.X"
"BA.2.10.3","BA.2.10"
"BA.2.12.2","BA.2.12"
"BA.2.13","BA.2.X"
"BA.2.15","BA.2.X"
"BA.2.23.1","BA.2.X"
"BA.2.3.15","BA.2.X"
"BA.2.3.16","BA.2.X"
"BA.2.41","BA.2.X"
"BA.2.43","BA.2.X"
"BA.2.44","BA.2.X"
"BA.2.50","BA.2.X"
"BA.2.55","BA.2.X"
"BA.2.56","BA.2.X"
"BA.2.57","BA.2.X"
"BA.2.58","BA.2.X"
"BA.2.61","BA.2.X"
"BA.2.65","BA.2.X"
"BA.2.66","BA.2.X"
"BA.2.67","BA.2.X"
"BA.2.68","BA.2.X"
"BA.2.70","BA.2.X"
"BA.2.72","BA.2.X"
"BA.2.73","BA.2.X"
"BA.5.1","BA.5"
"BA.5.3.1","BA.5"
"BA.5.5","BA.5"
"BD.1","BA.1.X"
"BE.1","BA.5"
"BF.1","BA.5"
"XAB","Omicron"
"XAH","Omicron"
"XE","Omicron"
"BA.2.3.13","BA.2.X"
"BA.4.1.1","BA.4"
"AY.33.2","Delta"
"BA.2.19","BA.2.X"
"BA.2.30","BA.2.X"
"BA.2.3.14","BA.2.X"
"BA.2.38.1","BA.2.38"
"BA.2.42","BA.2.X"
"BA.2.45","BA.2.X"
"BA.2.74","BA.2.X"
"BA.2.75","BA.2.75"
"BA.2.76","BA.2.X"
"BA.2.78","BA.2.X"
"BA.2.79","BA.2.X"
"BA.2.79.1","BA.2.X"
"BA.4.2","BA.4"
"BA.4.4","BA.4"
"BA.5.1.3","BA.5"
"BE.1.1","BA.5"
"BE.3","BA.5"
"BF.2","BA.5"
"BF.3","BA.5"
"BF.4","BA.5"
"XN","Omicron"
"BA.5.1.4","BA.5"
